Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/19/2025,04/20/2025,AMAZON MKTPL*Z86577JB3,Shopping,Sale,-22.21,
04/18/2025,04/20/2025,SQ *DOS BROS SOUTH LOOP,Food & Drink,Sale,-17.30,
04/19/2025,04/20/2025,SP PICCALIO,Home,Sale,-238.86,
04/19/2025,04/20/2025,TST* TOTTO'S MARKET,Groceries,Sale,-17.53,
04/19/2025,04/20/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-14.32,
04/19/2025,04/20/2025,carters  Inc.,Shopping,Sale,-199.56,
04/19/2025,04/20/2025,TST* TOTTO'S MARKET,Groceries,Sale,-13.41,
04/19/2025,04/20/2025,Amazon.com*4B8HK2RY3,Groceries,Sale,-158.60,
04/18/2025,04/20/2025,TARGET        00018895,Shopping,Sale,-13.05,
04/18/2025,04/20/2025,SQ *CAFE DEKO,Food & Drink,Sale,-21.79,
04/17/2025,04/18/2025,C.M.LIFE HAVEN,Bills & Utilities,Sale,-86.98,
04/17/2025,04/18/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-15.34,
04/17/2025,04/18/2025,TST* TOTTO'S MARKET,Groceries,Sale,-7.78,
04/15/2025,04/17/2025,TRADER JOE S #701,Groceries,Sale,-50.69,
04/15/2025,04/16/2025,TST* TOTTO'S MARKET,Groceries,Sale,-22.17,
04/14/2025,04/15/2025,AMAZON MKTPL*DO8SW6S83,Shopping,Sale,-38.59,
04/13/2025,04/15/2025,TST*ART OF PIZZA ON STAT,Food & Drink,Sale,-5.31,
04/14/2025,04/15/2025,TST* TOTTO'S MARKET,Groceries,Sale,-30.83,
04/13/2025,04/14/2025,SQ *DOS BROS SOUTH LOOP,Food & Drink,Sale,-17.52,
04/13/2025,04/14/2025,TARGET        00018895,Shopping,Sale,-21.27,
04/12/2025,04/14/2025,BURNHAM PARK ANIMAL HOSPI,Personal,Sale,-947.00,
04/14/2025,04/14/2025,AZAZIE INC,Shopping,Sale,-262.40,
04/12/2025,04/14/2025,TRADER JOE S #701,Groceries,Sale,-57.53,
04/12/2025,04/13/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-28.66,
04/11/2025,04/13/2025,Amazon.com*7Y1HZ0PO3,Shopping,Sale,-49.60,
04/08/2025,04/10/2025,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-15.42,
